time_stamp,target,x1,y1,x2,y2
00:00:00,Target_A,1423,965,1528,1080
00:00:00,Target_B,1595,781,1649,824
00:00:00,Target_E,1498,787,1628,942
00:00:00,Target_B,1493,801,1628,895
00:00:00,Target_C,1686,950,1877,1063
00:00:00,Target_C,1715,772,1885,909
00:00:00,Target_C,1405,812,1590,981
00:00:00,Target_D,765,559,951,691
00:00:00,Target_C,264,118,329,260
00:00:00,Target_A,90,270,263,443
00:00:01,Target_A,1575,726,1753,848
00:00:01,Target_E,1640,883,1677,940
00:00:01,Target_B,1499,933,1666,1002
00:00:01,Target_D,710,515,777,555
00:00:01,Target_D,659,489,797,545
00:00:01,Target_B,70,100,180,269
00:00:01,Target_B,965,519,1137,628
00:00:02,Target_A,1747,876,1876,1009
00:00:02,Target_F,1700,730,1784,882
00:00:02,Target_C,1605,864,1714,975
00:00:02,Target_A,616,527,816,617
00:00:02,Target_C,90,178,192,256
00:00:02,Target_B,143,60,230,210
00:00:02,Target_D,250,260,405,438
00:00:02,Target_A,1196,424,1298,497
00:00:02,Target_A,384,55,544,198
00:00:03,Target_C,1448,932,1584,1071
00:00:03,Target_C,1547,705,1654,799
00:00:03,Target_A,1705,845,1829,878
00:00:03,Target_D,1408,911,1510,1080
00:00:03,Target_A,686,612,853,711
00:00:03,Target_E,709,639,802,831
00:00:03,Target_A,158,256,237,326
00:00:03,Target_B,59,100,171,261
00:00:03,Target_B,1030,270,1103,308
00:00:03,Target_C,1409,755,1595,872
00:00:04,Target_A,1663,922,1846,1052
00:00:04,Target_F,1458,746,1576,817
00:00:04,Target_A,1600,772,1638,937
00:00:04,Target_A,1613,947,1673,1080
00:00:04,Target_G,602,571,656,604
00:00:04,Target_E,730,540,885,679
00:00:04,Target_A,684,453,871,633
00:00:04,Target_B,697,516,740,618
00:00:04,Target_A,695,656,856,686
00:00:04,Target_A,403,297,501,334
00:00:04,Target_A,1815,307,1920,445
00:00:05,Target_D,1509,876,1571,1055
00:00:05,Target_D,840,509,975,542
00:00:05,Target_A,756,471,796,518
00:00:05,Target_C,836,128,992,236
00:00:06,Target_A,1560,901,1651,1002
00:00:06,Target_F,1426,795,1579,867
00:00:06,Target_A,1711,939,1891,972
00:00:06,Target_G,1684,715,1761,877
00:00:06,Target_A,1671,786,1755,964
00:00:06,Target_B,673,507,730,574
00:00:06,Target_D,669,631,765,819
00:00:06,Target_B,608,544,807,616
00:00:06,Target_D,180,119,255,163
00:00:06,Target_C,157,175,227,250
00:00:06,Target_G,1142,30,1283,86
00:00:06,Target_A,577,374,751,472
00:00:07,Target_D,1404,718,1489,788
00:00:07,Target_B,1413,922,1559,1072
00:00:07,Target_D,298,218,357,335
00:00:07,Target_E,101,100,139,214
00:00:07,Target_C,193,138,314,189
00:00:07,Target_C,1209,907,1259,983
00:00:08,Target_A,1754,967,1882,1080
00:00:08,Target_A,1586,844,1740,890
00:00:08,Target_G,1487,850,1553,944
00:00:08,Target_C,1636,775,1696,929
00:00:08,Target_B,641,490,675,672
00:00:08,Target_E,849,453,881,513
00:00:08,Target_A,680,644,764,686
00:00:08,Target_C,252,131,329,281
00:00:08,Target_B,40,289,136,453
00:00:09,Target_A,1605,746,1687,933
00:00:09,Target_A,1439,852,1634,896
00:00:09,Target_B,855,592,1011,689
00:00:09,Target_B,212,182,410,235
00:00:09,Target_C,189,197,296,314
00:00:09,Target_E,1094,519,1247,689
00:00:10,Target_A,1406,825,1447,975
00:00:10,Target_A,1710,834,1812,890
00:00:10,Target_B,1712,711,1865,828
00:00:10,Target_D,1749,759,1920,892
00:00:10,Target_B,688,558,860,754
00:00:10,Target_A,179,53,371,92
